,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
120,1120,1910,The Bad Man's Christmas Gift (1910) ,0,0,"Andy Carson, puncher on the Lazy X ranch, is in love with Gladys, daughter of Col. Pierce, the ranch owner. Gladys likes the young puncher, hut when Jack Brinsley, a young Eastern friend of...
                    See full summary »",Short | Western,"[(""Gilbert M. 'Broncho Billy' Anderson"", 1908), ('Gladys Field', 1908), ('Brinsley Shaw | See full cast & crew\xa0»', 1908)]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]","[{'star': ""Gilbert M. 'Broncho Billy' Anderson"", 'star_id': 1908, 'character': 'Andy Carson', 'character_id': 1124}, {'star': 'Gladys Field', 'star_id': 275943, 'character': 'Gladys Pierce', 'character_id': 1124}, {'star': 'Brinsley Shaw', 'star_id': 789632, 'character': 'Jack Brinsley', 'character_id': 1124}, {'star': 'Arthur Mackley', 'star_id': 533615, 'character': None, 'character_id': None}, {'star': 'Fred Church', 'star_id': 161366, 'character': None, 'character_id': None}, {'star': 'Victor Potel', 'star_id': 693055, 'character': None, 'character_id': None}, {'star': 'Margaret Joslin', 'star_id': 430865, 'character': None, 'character_id': None}, {'star': 'Augustus Carney', 'star_id': 138771, 'character': None, 'character_id': None}, {'star': 'Harry Todd', 'star_id': 865178, 'character': None, 'character_id': None}]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]",24-Dec-10,USA,None | English,Los Gatos | California | USA,,,
121,1121,1910,The Bewitched Boxing Gloves (1910) ,0,0,A man dons magic boxing gloves and smashes motorcars.,Short | Comedy,,,,"[('Walter R. Booth', 95816), ('Theo Frenkel (as Theo Bouwmeester)', 95816)]",10-Sep,UK,None,,,,6
122,1122,1909,What Drink Did (1909) ,5.5,159,"A man leaves his wife and two daughters for work in a carpentry shop. At work, he initially refuses a beer with lunch, then gives in. After work, two friends take a little while to convince...
                    See full summary »",Short | Drama,"[('David Miles', 587097), ('Florence Lawrence', 587097), ('Gladys Egan | See full cast & crew\xa0»', 587097)]","[('D.W. Griffith', 428)]","[{'star': 'David Miles', 'star_id': 587097, 'character': 'Alfred Lucas', 'character_id': 1091}, {'star': 'Florence Lawrence', 'star_id': 492757, 'character': 'Mrs. Alfred Lucas', 'character_id': 1091}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': 'One of the Lucas Children', 'character_id': 1091}, {'star': 'Adele DeGarde', 'star_id': 214651, 'character': 'One of the Lucas Children', 'character_id': 1091}, {'star': 'Charles Avery', 'star_id': 43018, 'character': 'Workman', 'character_id': 1091}, {'star': 'John R. Cumpson', 'star_id': 173994, 'character': 'Bartender', 'character_id': 1091}, {'star': 'Flora Finch', 'star_id': 277411, 'character': None, 'character_id': None}, {'star': 'Anita Hendrie', 'star_id': 376829, 'character': 'Extra', 'character_id': 1091}, {'star': 'Arthur V. Johnson', 'star_id': 424530, 'character': 'Bartender', 'character_id': 1091}, {'star': 'Owen Moore', 'star_id': 601698, 'character': 'Workman', 'character_id': 1091}, {'star': 'George Nichols', 'star_id': 629589, 'character': 'Workman', 'character_id': 1091}, {'star': ""Anthony O'Sullivan"", 'star_id': 642722, 'character': 'Workman', 'character_id': 1091}, {'star': 'Mary Pickford', 'star_id': 681933, 'character': None, 'character_id': None}, {'star': 'Herbert Prior', 'star_id': 697944, 'character': 'Workman', 'character_id': 1091}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'Workman', 'character_id': 1091}]","[('D.W. Griffith', 428)]",31-May-09,USA,None | English,Fort Lee | New Jersey | USA,,,12
123,1123,1910,Behind the Scenes (1910) ,0,0,A clown leaves his dying wife to perform his circus act.,Short | Drama,,,,"[('Bert Haldane', 354790)]",10-Aug,UK,None,,,,
124,1124,1910,The Bandit's Wife (1910) ,0,0,"Jim Sweeney, alias Tom Nolan, and his confederate Ralph Harding are much wanted by the sheriffs of several Arizona counties and particularly by the one in which the two are carrying on ...
                    See full summary »",Short | Western,"[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]","[{'star': ""Gilbert M. 'Broncho Billy' Anderson"", 'star_id': 1908, 'character': None, 'character_id': None}]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]",18-Jun-10,USA,None | English,Morrison | Colorado | USA,,,
125,1125,1910,As the Bells Rang Out! (1910) ,4.6,13,"Grace, the daughter of Gilbert Allen, is sought in marriage by Wilson Breen, a young man of wealth. The father cheerfully approves of the match and the day for the wedding is set for six ...
                    See full summary »",Drama | Short,"[('George Nichols', 629589), ('Stephanie Longfellow', 629589), ('Charles West | See full cast & crew\xa0»', 629589)]","[('Stanner E.V. Taylor', 853193)]","[{'star': 'George Nichols', 'star_id': 629589, 'character': 'Gilbert Allen', 'character_id': 1121}, {'star': 'Stephanie Longfellow', 'star_id': 519310, 'character': ""Grace Allen - Gilbert's Daughter"", 'character_id': 1121}, {'star': 'Charles West', 'star_id': 921980, 'character': ""Wilson Breen - the Daughter's Fiance"", 'character_id': 1121}, {'star': 'Grace Henderson', 'star_id': 376442, 'character': 'Mrs. Allen', 'character_id': 1121}, {'star': 'Dorothy West', 'star_id': 922044, 'character': 'The Maid of Honor', 'character_id': 1121}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': 'The Best Man', 'character_id': 1121}, {'star': 'Verner Clarges', 'star_id': 163559, 'character': 'The Preacher', 'character_id': 1121}, {'star': 'William J. Butler', 'star_id': 125164, 'character': 'The Court Officer', 'character_id': 1121}, {'star': 'Charles Craig', 'star_id': 185803, 'character': 'A Creditor', 'character_id': 1121}, {'star': 'John T. Dillon', 'star_id': 227021, 'character': 'A Butler', 'character_id': 1121}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': 'Wedding Guest', 'character_id': 1121}, {'star': 'Joseph Graybill', 'star_id': 337033, 'character': 'Wedding Guest', 'character_id': 1121}, {'star': 'Arthur V. Johnson', 'star_id': 424530, 'character': None, 'character_id': None}, {'star': 'Henry Lehrman', 'star_id': 499883, 'character': 'Wedding Guest', 'character_id': 1121}, {'star': 'Alfred Paget', 'star_id': 656425, 'character': 'A Butler', 'character_id': 1121}]","[('D.W. Griffith', 428)]",21-Jul-10,USA,None | English,,,,8
126,1126,1910,The Bearded Bandit (1910) ,0,0,"In the little western town of Lariat, when our story opens, there is much excitement over the latest depredations of the robber, who, because of his particular ingenuity in hiding his real ...
                    See full summary »",Short | Western,"[(""Gilbert M. 'Broncho Billy' Anderson"", 1908), ('Gladys Field', 1908), ('Harry Todd | See full cast & crew\xa0»', 1908)]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]","[{'star': ""Gilbert M. 'Broncho Billy' Anderson"", 'star_id': 1908, 'character': 'Curt, the Sheriff', 'character_id': 1130}, {'star': 'Gladys Field', 'star_id': 275943, 'character': 'Nan Conners', 'character_id': 1130}, {'star': 'Harry Todd', 'star_id': 865178, 'character': 'Mr. Conners', 'character_id': 1130}, {'star': 'Victor Potel', 'star_id': 693055, 'character': None, 'character_id': None}, {'star': 'Fred Church', 'star_id': 161366, 'character': None, 'character_id': None}]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]",8-Oct-10,USA,None | English,Colorado | USA,,,
127,1127,1910,Alice's Adventures in Wonderland (1910) ,6.2,85,"Film ""Alice's Adventures in Wonderland"" based on the novel ""Alice's Adventures in Wonderland"" by Lewis Carroll.",Adventure | Comedy | Drama,"[('Gladys Hulette', 401368)]","[('Lewis Carroll (novel)', 140902)]","[{'star': 'Gladys Hulette', 'star_id': 401368, 'character': 'Alice', 'character_id': 1106}]","[('Edwin S. Porter', 692105)]",9-Sep-10,USA,None | English,USA,,,
128,1128,1910,A Broken Spell (1910) ,0,0,"Proud of the honor and distinction of entertaining a celebrity, the Count brings the famous musical composer to his residence, introduces him to his wife and extends to him the hospitality ...
                    See full summary »",Short | Drama,"[('Norma Talmadge', 848232)]",,"[{'star': 'Norma Talmadge', 'star_id': 848232, 'character': None, 'character_id': None}]",,26-Mar-10,USA,None | English,,,,
129,1129,1910,All on Account of the Milk (1910) ,6.2,37,"The hero, a young contractor, is mistaken by the heroine for a laborer, while he thinks she is the maid although she is the daughter of the manor. The hero continues to represent himself as...
                    See full summary »",Short | Comedy,"[('Mary Pickford', 681933), ('Kate Bruce', 681933), ('Blanche Sweet | See full cast & crew\xa0»', 681933)]",,"[{'star': 'Mary Pickford', 'star_id': 681933, 'character': 'The Young Woman', 'character_id': 1107}, {'star': 'Kate Bruce', 'star_id': 115524, 'character': ""The Young Woman's Mother"", 'character_id': 1107}, {'star': 'Blanche Sweet', 'star_id': 842239, 'character': 'The Maid', 'character_id': 1107}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'The Farmhand', 'character_id': 1107}, {'star': 'Arthur V. Johnson', 'star_id': 424530, 'character': 'The Young Contractor', 'character_id': 1107}, {'star': 'Flora Finch', 'star_id': 277411, 'character': None, 'character_id': None}, {'star': 'Jack Pickford', 'star_id': 681927, 'character': 'At Construction Site', 'character_id': 1107}, {'star': 'Mrs. M.S. Smith', 'star_id': 809420, 'character': None, 'character_id': None}]","[('Frank Powell', 288616)]",15-Jan-10,USA,None | English,New Jersey | USA,,,16
130,1130,1910,The Blue Bird (1910) ,0,0,A fairy helps selfish children find the bird of happiness.,Short | Drama | Fantasy,"[('Pauline Gilmer', 319483), ('Olive Walter', 319483), ('Margaret Murray | See full cast & crew\xa0»', 319483)]","[('Maurice Maeterlinck (play)', 535508)]","[{'star': 'Pauline Gilmer', 'star_id': 319483, 'character': 'Mytyl', 'character_id': 1133}, {'star': 'Olive Walter', 'star_id': 910105, 'character': 'Tytyl', 'character_id': 1133}, {'star': 'Margaret Murray', 'star_id': 615150, 'character': 'Mummy Tyl', 'character_id': 1133}, {'star': 'E.A. Warburton', 'star_id': 911311, 'character': 'Daddy Tyl', 'character_id': 1133}, {'star': 'Ernest Hendrie', 'star_id': 376833, 'character': 'Tylo', 'character_id': 1133}, {'star': 'Norma Page', 'star_id': 656293, 'character': 'Tylette', 'character_id': 1133}, {'star': 'Carlotta Addison', 'star_id': 11700, 'character': 'The Fairy', 'character_id': 1133}, {'star': 'Edward Rigby', 'star_id': 726585, 'character': 'Bread', 'character_id': 1133}, {'star': 'H.R. Hignett', 'star_id': 383660, 'character': 'Sugar', 'character_id': 1133}, {'star': 'Doris Lytton', 'star_id': 529363, 'character': 'Milk', 'character_id': 1133}, {'star': 'Saba Raleigh', 'star_id': 707682, 'character': 'Cow', 'character_id': 1133}, {'star': 'C.V. France', 'star_id': 289795, 'character': 'Time', 'character_id': 1133}, {'star': 'Roy Travers', 'star_id': 871314, 'character': 'Cow', 'character_id': 1133}]",,10-Jan,UK,None,,,,
131,1131,1910,The Brothers (1910) ,0,0,A PC catches a robber brother who reforms and helps catch bank-robbers.,Short | Drama,,,,"[('Theo Frenkel (as Theo Bouwmeester)', 294276)]",10-Apr,UK,None,,,,
132,1132,1910,The Bully (1910) ,0,0,A bully repents when his victim is injured saving his son.,Short | Drama,,,,"[('Theo Frenkel (as Theo Bouwmeester)', 294276)]",10-Sep,UK,None,Chicago | Illinois | USA,,,
133,1133,1910,The Banker's Daughters (1910) ,5,15,"The crook is ever possessed of an clement of subtlety and inventive ingenuity, which, if exercised in worthy efforts would be highly commendable. Fate, however, always ethical, is ...
                    See full summary »",Short | Drama,"[('Verner Clarges', 163559), ('Stephanie Longfellow', 163559), ('Dorothy West | See full cast & crew\xa0»', 163559)]","[('Earl Hodge', 388062)]","[{'star': 'Verner Clarges', 'star_id': 163559, 'character': 'C.W. Bourne - the Banker', 'character_id': 1129}, {'star': 'Stephanie Longfellow', 'star_id': 519310, 'character': 'Alice Bourne', 'character_id': 1129}, {'star': 'Dorothy West', 'star_id': 922044, 'character': ""Martha Bourne - the Banker's Older Daughter"", 'character_id': 1129}, {'star': ""Anthony O'Sullivan"", 'star_id': 642722, 'character': '1st Criminal', 'character_id': 1129}, {'star': 'Henry B. Walthall', 'star_id': 910400, 'character': '2nd Criminal', 'character_id': 1129}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': '3rd Criminal', 'character_id': 1129}, {'star': 'Alfred Paget', 'star_id': 656425, 'character': 'The Butler', 'character_id': 1129}, {'star': 'Clara T. Bracy', 'star_id': 102858, 'character': 'The Maid', 'character_id': 1129}, {'star': 'George Nichols', 'star_id': 629589, 'character': 'The Police Sergeant', 'character_id': 1129}, {'star': 'John T. Dillon', 'star_id': 227021, 'character': 'Policeman', 'character_id': 1129}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': None, 'character_id': None}, {'star': 'Frank Evans', 'star_id': 262757, 'character': 'Policeman', 'character_id': 1129}, {'star': 'Robert Harron', 'star_id': 366008, 'character': 'Messenger (unconfirmed)', 'character_id': 1129}, {'star': 'Guy Hedlund', 'star_id': 373341, 'character': 'Policeman', 'character_id': 1129}, {'star': 'Dell Henderson', 'star_id': 376396, 'character': 'Policeman', 'character_id': 1129}]","[('D.W. Griffith', 428)]",20-Oct-10,USA,None | English,,,,16
134,1134,1909,Briton and Boer (1909) ,0,0,"The story opens just before the Boer War at the farm house of Jobe De Larey, just outside Kimberly, S.A. Jobe's family are Boers with all the strange customs and fierce hatreds of this ...
                    See full summary »",Action | Short | War,"[('Hobart Bosworth', 98376), ('Tom Santschi', 98376), ('Tom Mix', 98376)]",,"[{'star': 'Hobart Bosworth', 'star_id': 98376, 'character': None, 'character_id': None}, {'star': 'Tom Santschi', 'star_id': 764346, 'character': None, 'character_id': None}, {'star': 'Tom Mix', 'star_id': 594291, 'character': None, 'character_id': None}]","[('Francis Boggs', 91767)]",25-Oct-09,USA,None | English,Chicago | Illinois | USA,,,
135,1135,1910,Afgrunden (1910) ,6.4,791,"At a tramcar in Copenhagen the piano teacher Magda Vang meets the young man Knud Svane, who falls in love with her. She is invited to spend the summer with him and his parents at the ...
                    See full summary »",Short | Drama,"[('Asta Nielsen', 3425), ('Robert Dinesen', 3425), ('Poul Reumert | See full cast & crew\xa0»', 3425)]","[('Urban Gad', 300487)]","[{'star': 'Asta Nielsen', 'star_id': 3425, 'character': 'Magda Vang', 'character_id': 1105}, {'star': 'Robert Dinesen', 'star_id': 227602, 'character': 'Ingenieur Knud Svane', 'character_id': 1105}, {'star': 'Poul Reumert', 'star_id': 720632, 'character': 'Artist Rudolf Stern', 'character_id': 1105}, {'star': 'Hans Neergaard', 'star_id': 1261170, 'character': 'Pastor Peder Svane', 'character_id': 1105}, {'star': 'Hulda Didrichsen', 'star_id': 225835, 'character': 'Frau Svane', 'character_id': 1105}, {'star': 'Emilie Sannom', 'star_id': 762935, 'character': ""Varietésängerin Lilly d'Estrelle"", 'character_id': 1105}, {'star': 'Oscar Stribolt', 'star_id': 834325, 'character': 'Kellner', 'character_id': 1105}, {'star': 'Arne Weel', 'star_id': 917364, 'character': 'Guest in Garden', 'character_id': 1105}, {'star': 'Johannes Fønss', 'star_id': 1004346, 'character': 'Guest in Garden', 'character_id': 1105}]","[('Urban Gad', 300487)]",12-Sep-10,Denmark,None | Danish,,,,37
136,1136,1910,The Butterfly (1910) ,0,0,No description.,,,,,"[('Robert W. Paul', 666972)]",,UK,None,,,,
137,1137,1910,By Order of Napoleon (1910) ,0,0,No description.,,,,,"[('Theo Frenkel', 294276)]",,UK,None,,,,
138,1138,1910,Broncho Billy's Redemption (1910) ,0,0,"A wanted cattle thief risks imprisonment when he tries to help a sick rancher and his daughter. He takes the man into town to see a doctor, and he is recognized and arrested.",Western | Short,"[(""Gilbert M. 'Broncho Billy' Anderson"", 1908), ('Clara Williams', 1908), ('Franklyn Hall | See full cast & crew\xa0»', 1908)]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]","[{'star': ""Gilbert M. 'Broncho Billy' Anderson"", 'star_id': 1908, 'character': 'Broncho Billy', 'character_id': 1137}, {'star': 'Clara Williams', 'star_id': 930290, 'character': 'Millie Merrill', 'character_id': 1137}, {'star': 'Franklyn Hall', 'star_id': 355582, 'character': None, 'character_id': None}, {'star': 'Chick Morrison', 'star_id': 607104, 'character': None, 'character_id': None}]","[(""Gilbert M. 'Broncho Billy' Anderson"", 1908)]",30-Jul-10,USA,None | English,Essanay Studios - 1333-45 W. Argyle Street | Uptown | Chicago | Illinois | USA,,,
139,1139,1910,O Centenário da Guerra Peninsular (1910) ,0,0,No description.,Documentary,,,,,,Portugal,None,,,,
140,1140,1910,Carceleras (1910) ,5,6,No description.,Short | Drama,,"[('Ricardo Rodríguez Flores', 735628), ('Segundo de Chomón', 735628)]",,"[('Segundo de Chomón', 159015)]",,Spain,None,,,,
141,1141,1910,The Child and the Fiddler (1910) ,0,0,An amnesiac girl is kidnapped and forced to dance to an old busker's violin.,Short | Crime | Drama,,,,"[('Theo Frenkel (as Theo Bouwmeester)', 294276)]",10-Jun,UK,None,,,,
142,1142,1910,Chantecler Atraiçoado (1910) ,0,0,No description.,Comedy | Short,"[('António Cardoso', 136615), ('Elence da Comp. do Teatro Gymnasio', 136615), ('Isabel Ferreira | See full cast & crew\xa0»', 136615)]",,"[{'star': 'António Cardoso', 'star_id': 136615, 'character': 'Chantecler', 'character_id': 1148}, {'star': 'Elence da Comp. do Teatro Gymnasio', 'star_id': 2086836, 'character': None, 'character_id': None}, {'star': 'Isabel Ferreira', 'star_id': 9880573, 'character': None, 'character_id': None}, {'star': 'Jorge Gentil', 'star_id': 313043, 'character': None, 'character_id': None}]","[('Júlio Costa', 182214)]",27-Jun-10,Portugal,None,,,,
143,1143,1910,The Broken Doll (1910) ,4.6,21,"Joe Stevens came out west to court fortune prospecting in the mountains. He has met with more than fair success and writes his wife that she might join him as soon as she could. Wishing to ...
                    See full summary »",Short | Drama,"[('Gladys Egan', 250676), ('Mack Sennett', 250676), ('Linda Arvidson | See full cast & crew\xa0»', 250676)]","[('Belle Taylor', 852022)]","[{'star': 'Gladys Egan', 'star_id': 250676, 'character': 'Little Indian Girl', 'character_id': 1135}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'Joe Stevens', 'character_id': 1135}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': 'Mrs. Joe Stevens', 'character_id': 1135}, {'star': 'Clara T. Bracy', 'star_id': 102858, 'character': 'Victim of Massacre', 'character_id': 1135}, {'star': 'Kate Bruce', 'star_id': 115524, 'character': 'Indian', 'character_id': 1135}, {'star': 'William J. Butler', 'star_id': 125164, 'character': 'Townsman', 'character_id': 1135}, {'star': 'Dark Cloud', 'star_id': 167144, 'character': 'Indian Chief', 'character_id': 1135}, {'star': 'Dorothy Davenport', 'star_id': 202590, 'character': 'Townswoman', 'character_id': 1135}, {'star': 'John T. Dillon', 'star_id': 227021, 'character': 'Townsman', 'character_id': 1135}, {'star': 'Frank Evans', 'star_id': 262757, 'character': 'Townsman', 'character_id': 1135}, {'star': 'Francis J. Grandon', 'star_id': 334918, 'character': 'Indian', 'character_id': 1135}, {'star': 'Joseph Graybill', 'star_id': 337033, 'character': 'Victim of Massacre', 'character_id': 1135}, {'star': 'Guy Hedlund', 'star_id': 373341, 'character': 'Indian', 'character_id': 1135}, {'star': 'Dell Henderson', 'star_id': 376396, 'character': 'Indian', 'character_id': 1135}, {'star': 'J. Jiquel Lanoe', 'star_id': 487007, 'character': 'Townsman', 'character_id': 1135}]","[('D.W. Griffith', 428)]",17-Oct-10,USA,None | English,Coytesville | New Jersey | USA,,,17
144,1144,1910,Carminella (1910) ,0,0,No description.,Short | Drama,"[('Madame Pilar-Morin', 1263982), ('George Soule Spencer', 1263982), ('Mary Fuller', 1263982)]","[('Bannister Merwin', 581683)]","[{'star': 'Madame Pilar-Morin', 'star_id': 1263982, 'character': 'Carminella', 'character_id': 1146}, {'star': 'George Soule Spencer', 'star_id': 817956, 'character': 'Don Jose', 'character_id': 1146}, {'star': 'Mary Fuller', 'star_id': 298301, 'character': None, 'character_id': None}]","[('Bannister Merwin', 581683)]",13-May-10,USA,None | English,,,,
145,1145,1910,As It Is in Life (1910) ,5.7,161,"A grief stricken widowed man, devotes his life to caring and providing for his very young daughter. He quickly secures a job at a nearby pigeon farm. One day he runs into an old sweetheart,...
                    See full summary »",Drama | Short,"[('George Nichols', 629589), ('Gladys Egan', 629589), ('Mary Pickford | See full cast & crew\xa0»', 629589)]","[('Stanner E.V. Taylor', 853193)]","[{'star': 'George Nichols', 'star_id': 629589, 'character': 'George Forrester', 'character_id': 1120}, {'star': 'Gladys Egan', 'star_id': 250676, 'character': ""George Forrester's Daughter - as a Child"", 'character_id': 1120}, {'star': 'Mary Pickford', 'star_id': 681933, 'character': ""George Forrester's Daughter - as an Adult"", 'character_id': 1120}, {'star': 'Marion Leonard', 'star_id': 502701, 'character': ""George Forrester's Sweetheart"", 'character_id': 1120}, {'star': 'Charles West', 'star_id': 921980, 'character': ""George Forrester's Son-in-Law"", 'character_id': 1120}, {'star': 'Frank Opperman', 'star_id': 649211, 'character': ""George Forrester's Son-in-Law's Companion"", 'character_id': 1120}, {'star': 'Kate Bruce', 'star_id': 115524, 'character': 'The Maid', 'character_id': 1120}, {'star': 'W. Chrystie Miller', 'star_id': 1013170, 'character': 'An Old Man', 'character_id': 1120}, {'star': 'William J. Butler', 'star_id': 125164, 'character': None, 'character_id': None}, {'star': ""Anthony O'Sullivan"", 'star_id': 642722, 'character': 'Worker on Farm', 'character_id': 1120}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'Owner of a Pigeon Farm (unconfirmed)', 'character_id': 1120}]","[('D.W. Griffith', 428)]",4-Apr-10,USA,None | English,Los Angeles Pigeon Farm | Lincoln Heights | Los Angeles | California | USA,,,16
146,1146,1910,Buffalo Bill's Wild West and Pawnee Bill's Far East (1910) ,4.6,12,No description.,Short,"[('William F. Cody', 168621), ('Gordon W. Lillie', 168621)]",,"[{'star': 'William F. Cody', 'star_id': 168621, 'character': 'Self', 'character_id': 1139}, {'star': 'Gordon W. Lillie', 'star_id': 510394, 'character': 'Self', 'character_id': 1139}]","[('William James Craft', 185714)]",15-Sep-10,USA,None,,,,
147,1147,1910,The Clerk's Downfall (1910) ,0,0,A clerk steals for a girl's sake and is forgiven on saving the life of the boss's daughter.,Short | Crime | Drama,"[('Charles Raymond', 713223)]",,"[{'star': 'Charles Raymond', 'star_id': 713223, 'character': 'Clerk', 'character_id': 1155}]","[('Charles Raymond', 713223)]",10-Jan,UK,None,,,,
148,1148,1906,Concurso de niños (1906) ,0,0,No description.,Documentary | Short,,,,"[('Hermanos Alva', 23107)]",8-Nov-06,Mexico,None,,,,
149,1149,1910,An Arcadian Maid (1910) ,5.5,134,"A young girl looking for work, is hired by a farmer's wife to work as a maid. A smooth talking peddler comes by the farm, and flirts with the young maid. He gives the naive girl an ...
                    See full summary »",Drama | Short,"[('Mary Pickford', 681933), ('Mack Sennett', 681933), ('George Nichols | See full cast & crew\xa0»', 681933)]","[('Stanner E.V. Taylor', 853193)]","[{'star': 'Mary Pickford', 'star_id': 681933, 'character': 'Priscilla - The Country Girl', 'character_id': 1118}, {'star': 'Mack Sennett', 'star_id': 784407, 'character': 'The Peddler', 'character_id': 1118}, {'star': 'George Nichols', 'star_id': 629589, 'character': 'The Man of the House', 'character_id': 1118}, {'star': 'Kate Bruce', 'star_id': 115524, 'character': 'The Lady of the House', 'character_id': 1118}, {'star': 'William J. Butler', 'star_id': 125164, 'character': 'Second Man', 'character_id': 1118}, {'star': 'Charles Craig', 'star_id': 185803, 'character': 'Man in Gambling Hall', 'character_id': 1118}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': 'Man in Gambling Hall', 'character_id': 1118}, {'star': 'John T. Dillon', 'star_id': 227021, 'character': 'Man in Gambling Hall', 'character_id': 1118}, {'star': 'Frank Evans', 'star_id': 262757, 'character': 'First Man', 'character_id': 1118}, {'star': 'Francis J. Grandon', 'star_id': 334918, 'character': 'Man on Train', 'character_id': 1118}, {'star': 'Joseph Graybill', 'star_id': 337033, 'character': 'Man in Gambling Hall', 'character_id': 1118}, {'star': 'Henry Lehrman', 'star_id': 499883, 'character': 'Man in Gambling Hall', 'character_id': 1118}, {'star': 'W. Chrystie Miller', 'star_id': 1013170, 'character': 'Man on Train', 'character_id': 1118}, {'star': ""Anthony O'Sullivan"", 'star_id': 642722, 'character': 'Man on Train', 'character_id': 1118}, {'star': 'Alfred Paget', 'star_id': 656425, 'character': 'Man on Train', 'character_id': 1118}]","[('D.W. Griffith', 428)]",1-Aug-10,USA,None | English,Westfield | New Jersey | USA,,,16
150,1150,1910,The Call to Arms (1910) ,4.5,13,"When the Feudal Lord and his bride were visited by their cousin at a time when this Lord was presenting to his bride the family heirloom the Great Ruby of Irskaat, the cousin coveted it, ...
                    See full summary »",Short | Drama,"[('Henry B. Walthall', 910400), ('Marion Leonard', 910400), ('Joseph Graybill | See full cast & crew\xa0»', 910400)]","[('Frank E. Woods', 940488)]","[{'star': 'Henry B. Walthall', 'star_id': 910400, 'character': 'The Lord', 'character_id': 1143}, {'star': 'Marion Leonard', 'star_id': 502701, 'character': ""Regina - the Lord's Wife"", 'character_id': 1143}, {'star': 'Joseph Graybill', 'star_id': 337033, 'character': ""The Lord's Cousin"", 'character_id': 1143}, {'star': 'Mary Pickford', 'star_id': 681933, 'character': 'The Messenger', 'character_id': 1143}, {'star': 'Alfred Paget', 'star_id': 656425, 'character': 'The Guard', 'character_id': 1143}, {'star': 'Grace Henderson', 'star_id': 376442, 'character': 'A Lady of the Court', 'character_id': 1143}, {'star': 'Charles Arling', 'star_id': 35187, 'character': None, 'character_id': None}, {'star': 'Linda Arvidson', 'star_id': 38106, 'character': None, 'character_id': None}, {'star': 'Clara T. Bracy', 'star_id': 102858, 'character': 'A Servant', 'character_id': 1143}, {'star': 'William J. Butler', 'star_id': 125164, 'character': 'A Servant', 'character_id': 1143}, {'star': 'Verner Clarges', 'star_id': 163559, 'character': 'A Soldier', 'character_id': 1143}, {'star': 'Edward Dillon', 'star_id': 226992, 'character': 'A Servant', 'character_id': 1143}, {'star': 'Francis J. Grandon', 'star_id': 334918, 'character': 'A Soldier', 'character_id': 1143}, {'star': 'Guy Hedlund', 'star_id': 373341, 'character': 'A Servant', 'character_id': 1143}, {'star': 'Dell Henderson', 'star_id': 376396, 'character': None, 'character_id': None}]","[('D.W. Griffith', 428)]",25-Jul-10,USA,None | English,Lambert Castle - 3 Valley Road | Paterson | New Jersey | USA,,,17
