,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
24,25,1895,The Oxford and Cambridge University Boat Race (1895) ,4.2,30,"Although the content of this film is primitive in the extreme - a shot of the traditional Oxford versus Cambridge University Boat Race, filmed on March 30 1895 - this film is of immense ...
                    See full summary »","['Short', 'News', 'Sport']",,,[],"[('Birt Acres', 10291)]",1895,UK,None,,,,
25,26,1896,The Messers. Lumière at Cards (1896) ,5.7,1329,"Two men play cards, as a third watches and a waiter brings drinks. The third man pours drinks as the waiter laughs.","['Documentary', 'Short']","[('Antoine Féraud', 2350007), ('Antoine Lumière', 2350007), ('Félicien Trewey | See full cast & crew\xa0»', 2350007)]",,"[{'star': 'Antoine Féraud', 'star_id': 2350007, 'character': 'Valet', 'character_id': 26}]","[('Louis Lumière', 525910)]",23 February 1896,France,None,,,,1
26,27,1895,Cordeliers' Square in Lyon (1895) ,5.6,945,"A stationary camera looks across the boulevard at a diagonal toward one corner of Lyon's Cordeliers' Square. It's a long shot, with a great deal of depth of focus. We can see the sky and ...
                    See full summary »","['Documentary', 'Short']",,,[],"[('Louis Lumière', 525910)]",28 December 1895,France,None,"['Place des Cordeliers', 'Lyon', 'Rhône', 'Rhône-Alpes', 'France']",,,1
27,28,1895,Fishing for Goldfish (1895) ,5.2,877,A baby held by his father dips his little hands into a water jug and he can' t catch the goldfish .,"['Documentary', 'Short']","[('Andrée Lumière', 2350838), ('Auguste Lumière', 2350838)]",,"[{'star': 'Andrée Lumière', 'star_id': 2350838, 'character': 'Self', 'character_id': 28}, {'star': 'Auguste Lumière', 'star_id': 525908, 'character': 'Self', 'character_id': 28}]","[('Louis Lumière', 525910)]",28 December 1895,France,None,"['Lyon', 'Rhône', 'Rhône-Alpes', 'France']",,,1
28,29,1895,Baby's Dinner (1895) ,6,2925,"As part of a maiden public film screening at the Salon Indien, on December 28, in Paris, Auguste Lumière pivots the centre of attention around his baby daughter, as he tries to feed her from a spoon.","['Documentary', 'Short']","[('Auguste Lumière', 525908), ('Mrs. Auguste Lumiere', 525908), ('Andrée Lumière', 525908)]",,"[{'star': 'Mrs. Auguste Lumiere', 'star_id': 525900, 'character': 'Self', 'character_id': 29}, {'star': 'Andrée Lumière', 'star_id': 2350838, 'character': 'Self', 'character_id': 29}, {'star': 'Auguste Lumière', 'star_id': 525908, 'character': 'Self', 'character_id': 29}]","[('Louis Lumière', 525910)]",July 1896,France,None,,,,1
29,30,1895,Rough Sea at Dover (1895) ,5.2,705,"The sea is quite rough, and at Dover a series of heavy waves pounds against a pier and along the adjacent shoreline. The scene then shifts to a different view of flowing water, and shows a heavy current from a point along a riverbank.","['Documentary', 'Short']",,,[],"[('Birt Acres', 10291), ('Robert W. Paul', 10291)]",14 January 1896,UK,None,,,,1
30,31,1895,Jumping the Blanket (1895) ,5.5,851,"Outdoors, with a nondescript building in the background, four men stand, each holding the corner of a blanket stretched parallel to the ground. They wear the clothes of laborers. By the ...
                    See full summary »","['Documentary', 'Short']",,,[],"[('Louis Lumière', 525910)]",July 1896,France,None,,,,1
31,32,1895,Die Serpentintänzerin (1895) ,5.1,347,"A young woman dancer with large, flowing robes, swirls round herself quickly, making her light robe flow around her like a butterfly's wings.",['Short'],"[('Ancion', 3692479)]",,"[{'star': 'Ancion', 'star_id': 3692479, 'character': 'The dancer', 'character_id': 32}]","[('Max Skladanowsky', 804434)]",1 November 1895,Germany,None,,,,
32,33,1895,Trick Riding (1895) ,5.6,870,"A man tries to get on a horse , but he climbs to one side and falls from the other, until he manages to stay in balance.","['Documentary', 'Short', 'Comedy']",,,[],"[('Louis Lumière', 525910)]",July 1896,France,None,"['Lyon', 'Rhône', 'Rhône-Alpes', 'France']",,,1
33,34,1896,Arrivée d'un train gare de Vincennes (1896) ,5.1,139,This lost film presumably features a train arriving at Vincennes station.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",1896,France,"['None', 'French']",,,,1
